Card 1,Card 2,Card 3
The Fool,The Magician,The High Priestess
The Fool,The Magician,The Empress
The Fool,The Magician,The Emperor
The Fool,The Magician,The Hierophant
The Fool,The Magician,The Lovers
The Fool,The Magician,The Chariot
The Fool,The Magician,Strength
The Fool,The Magician,The Hermit
The Fool,The Magician,Wheel of Fortune
The Fool,The Magician,Justice
The Fool,The Magician,The Hanged Man
The Fool,The Magician,Death
The Fool,The Magician,Temperance
The Fool,The Magician,The Devil
The Fool,The Magician,The Tower
The Fool,The Magician,The Star
The Fool,The Magician,The Moon
The Fool,The Magician,The Sun
The Fool,The Magician,Judgement
The Fool,The Magician,The World
The Fool,The High Priestess,The Empress
The Fool,The High Priestess,The Emperor
The Fool,The High Priestess,The Hierophant
The Fool,The High Priestess,The Lovers
The Fool,The High Priestess,The Chariot
The Fool,The High Priestess,Strength
The Fool,The High Priestess,The Hermit
The Fool,The High Priestess,Wheel of Fortune
The Fool,The High Priestess,Justice
The Fool,The High Priestess,The Hanged Man
The Fool,The High Priestess,Death
The Fool,The High Priestess,Temperance
The Fool,The High Priestess,The Devil
The Fool,The High Priestess,The Tower
The Fool,The High Priestess,The Star
The Fool,The High Priestess,The Moon
The Fool,The High Priestess,The Sun
The Fool,The High Priestess,Judgement
The Fool,The High Priestess,The World
The Fool,The Empress,The Emperor
The Fool,The Empress,The Hierophant
The Fool,The Empress,The Lovers
The Fool,The Empress,The Chariot
The Fool,The Empress,Strength
The Fool,The Empress,The Hermit
The Fool,The Empress,Wheel of Fortune
The Fool,The Empress,Justice
The Fool,The Empress,The Hanged Man
The Fool,The Empress,Death
The Fool,The Empress,Temperance
The Fool,The Empress,The Devil
The Fool,The Empress,The Tower
The Fool,The Empress,The Star
The Fool,The Empress,The Moon
The Fool,The Empress,The Sun
The Fool,The Empress,Judgement
The Fool,The Empress,The World
The Fool,The Emperor,The Hierophant
The Fool,The Emperor,The Lovers
The Fool,The Emperor,The Chariot
The Fool,The Emperor,Strength
The Fool,The Emperor,The Hermit
The Fool,The Emperor,Wheel of Fortune
The Fool,The Emperor,Justice
The Fool,The Emperor,The Hanged Man
The Fool,The Emperor,Death
The Fool,The Emperor,Temperance
The Fool,The Emperor,The Devil
The Fool,The Emperor,The Tower
The Fool,The Emperor,The Star
The Fool,The Emperor,The Moon
The Fool,The Emperor,The Sun
The Fool,The Emperor,Judgement
The Fool,The Emperor,The World
The Fool,The Hierophant,The Lovers
The Fool,The Hierophant,The Chariot
The Fool,The Hierophant,Strength
The Fool,The Hierophant,The Hermit
The Fool,The Hierophant,Wheel of Fortune
The Fool,The Hierophant,Justice
The Fool,The Hierophant,The Hanged Man
The Fool,The Hierophant,Death
The Fool,The Hierophant,Temperance
The Fool,The Hierophant,The Devil
The Fool,The Hierophant,The Tower
The Fool,The Hierophant,The Star
The Fool,The Hierophant,The Moon
The Fool,The Hierophant,The Sun
The Fool,The Hierophant,Judgement
The Fool,The Hierophant,The World
The Fool,The Lovers,The Chariot
The Fool,The Lovers,Strength
The Fool,The Lovers,The Hermit
The Fool,The Lovers,Wheel of Fortune
The Fool,The Lovers,Justice
The Fool,The Lovers,The Hanged Man
The Fool,The Lovers,Death
The Fool,The Lovers,Temperance
The Fool,The Lovers,The Devil
The Fool,The Lovers,The Tower
The Fool,The Lovers,The Star
The Fool,The Lovers,The Moon
The Fool,The Lovers,The Sun
The Fool,The Lovers,Judgement
The Fool,The Lovers,The World
The Fool,The Chariot,Strength
The Fool,The Chariot,The Hermit
The Fool,The Chariot,Wheel of Fortune
The Fool,The Chariot,Justice
The Fool,The Chariot,The Hanged Man
The Fool,The Chariot,Death
The Fool,The Chariot,Temperance
The Fool,The Chariot,The Devil
The Fool,The Chariot,The Tower
The Fool,The Chariot,The Star
The Fool,The Chariot,The Moon
The Fool,The Chariot,The Sun
The Fool,The Chariot,Judgement
The Fool,The Chariot,The World
The Fool,Strength,The Hermit
The Fool,Strength,Wheel of Fortune
The Fool,Strength,Justice
The Fool,Strength,The Hanged Man
The Fool,Strength,Death
The Fool,Strength,Temperance
The Fool,Strength,The Devil
The Fool,Strength,The Tower
The Fool,Strength,The Star
The Fool,Strength,The Moon
The Fool,Strength,The Sun
The Fool,Strength,Judgement
The Fool,Strength,The World
The Fool,The Hermit,Wheel of Fortune
The Fool,The Hermit,Justice
The Fool,The Hermit,The Hanged Man
The Fool,The Hermit,Death
The Fool,The Hermit,Temperance
The Fool,The Hermit,The Devil
The Fool,The Hermit,The Tower
The Fool,The Hermit,The Star
The Fool,The Hermit,The Moon
The Fool,The Hermit,The Sun
The Fool,The Hermit,Judgement
The Fool,The Hermit,The World
The Fool,Wheel of Fortune,Justice
The Fool,Wheel of Fortune,The Hanged Man
The Fool,Wheel of Fortune,Death
